name,Dobrá muška (rychlá volba: Úroveň 3)
flavor,"Se svou oblíbenou zbraní dokáže zasáhnout hned první ranou, jako by cíl jeho střelu přímo přitahoval."
description,"Hráč si vybere jeden druh střelné zbraně (např. luk). Postava má nadání (2 manévry) pro pěší i jízdní střelbu tímto druhem zbraně na jakýkoliv cíl. (bez aktivace, Tělo)"
name,Lučištník (rychlá volba: Úroveň 1)
flavor,"Před jeho střelami není úniku. Najde si svou kořist v jakémkoliv úkrytu a ví, jak šípem spolehlivě zmrzačit zvíře nebo člověka"
description,"Postava je zběhlá (některé manévry zdarma) v pěší střelbě jakoukoliv střelnou zbraní na lidi, zvířata a neživé cíle. (bez aktivace, Tělo)"
name,Průzkumník
flavor,V přírodním terénu se pohybuje tiše jako duch a jeho bystrému zraku nic neunikne.
description,"Postava je zběhlá (některé manévry zdarma) v tichém pohybu, skrývání se a odhalování skrytých tvorů či věcí v divočině. (bez aktivace, Duše)"
name,Zálesák
flavor,"V divočině je jako doma, neztratí směr ani netrpí hladem."
description,"Voda je jeho živel a řeky jsou pro něj cestami spolehlivě vedoucími k cíli. Postava je zběhlá (některé manévry zdarma) v hledání cesty, potravy a přístřeší v divočině, v lovu zvířat, rybolovu a vytváření loveckých pastí, ve zpracování a prodeji kořisti, v činnostech vyžadujících otužilost a v plavání i plavbě malým plavidlem. (bez aktivace, Duše)"
name,Stopař
flavor,"Kde jiní vidí pouze brázdu ve sněhu, on dokáže rozpoznat stopy pěti mužů, kteří odnášeli hledanou ženu směrem na sever."
description,"Postava je zběhlá (některé manévry zdarma) v stopování a zakrývání stop. (bez aktivace, Duše)"
name,Krotitel
flavor,I to nejvzpurnější zvíře zjihne pod jeho přísným pohledem či výhružným zamručením.
description,"Postava je zběhlá (některé manévry zdarma) v ochočování si zvířat, využívání zvířat pomocí povelů a v zastrašování zvířat. (bez aktivace, Vliv)"
name,Zdvojená střela (rychlá volba: Úroveň 4)
flavor,První šíp ještě sviští vzduchem a zkušená ruka již zakládá na tětivu druhý.
description,"Při střelbě, během níž má postava dostatek dobře přístupné munice (například šípy zabodané před sebou v zemi), může postava při každém svém útoku směřovaném pouze na dva cíle použít zdarma manévr rozsáhle. (bez aktivace, Tělo)"
name,K neutahání
flavor,Stačí mu trochu si zdřímnout a je zase čilý jako rybička.
description,"Při nedostatečném odpočinku si postava doplní 2 vyčerpané zdroje navíc. (bez aktivace, Duše)"
name,Jedna duše
flavor,"Dokáže si své zvíře vycvičit tak, že na sebe cizího člověka nenechá ani sáhnout."
description,"Hráč může určit, jak bude reagovat ochočené zvíře jeho postavy na tvora, který se s ním právě pokouší navázat kontakt (například pes může odmítnout nabízený pamlsek i v nepřítomnosti svého pána, kůň může na zahvízdnutí shodit jezdce, který se na něm pokouší ujet). To platí, pokud není zvíře očarováno. (aktivace: 1 Vliv)"
class,Kejklíř
name,Změna tváře (rychlá volba: Úroveň 5)
flavor,"Nepotřebuje převleky ani líčidla. Prostě jen svraští obličej, rozcuchá si vlasy, shrbí se nebo napodobí záškuby šílence tak dovedně, že jej ani přátelé nepoznají."
description,"Postava s touto vyhrazenou dovedností se dokáže vydávat za někoho jiného (například za stařenu nebo žebráka), ačkoliv neměla dost času nebo prostředky k tomu, aby se nalíčila nebo použila převlek. Nemůže se však tímto způsobem vydávat za nějakou určitou existující osobu. (aktivace: 1 Tělo)"
name,Děsivá přesnost (rychlá volba: Úroveň 3)
flavor,"Pokud se jím vržená zbraň chvěje v trámu vedle vaší hlavy, buďte si jistí, že neminul. Bylo to varování."
description,"Hráč si vybere jeden druh vrhací zbraně (např. nůž nebo oštěp). Postava má nadání (2 manévry) pro pěší i jízdní vrhání tímto druhem zbraně na jakýkoliv cíl. (bez aktivace, Tělo)"
name,Rychlé ruce
flavor,"Zbraň či glejt, o který jej chce někdo připravit, mění místa tak rychle, že to skoro nelze postřehnout."
description,"Postava má nadání (2 manévry) čelit tomu, když ji někdo chce připravit o předmět, který drží v rukou. (bez aktivace, Tělo)"
name,Vrhač (rychlá volba: Úroveň 1)
flavor,"Zabíjel na dálku už tolikrát, že předvídá každý pohyb i úmysl své kořisti."
description,"Postava je zběhlá (některé manévry zdarma) v pěším vrhání jakoukoliv vrhací zbraní na lidi, zvířata a neživé cíle. (bez aktivace, Tělo)"
name,Akrobat (rychlá volba: Úroveň 2)
flavor,Je skvělý jezdec i běžec a jeho přemety či skoky ze střechy na střechu vyrážejí přihlížejícím dech.
description,"Postava je zběhlá (některé manévry zdarma) ve skocích a pádech, v běhu, jezdectví a jezdecké akrobacii. (bez aktivace, Tělo)"
name,Provazochodec
flavor,Po provaze běhá jako veverka a svým lehkým krokem dokáže bez jediného zaskřípání překonat i rozvrzanou prkennou podlahu.
description,"Postava je zběhlá (některé manévry zdarma) v udržování rovnováhy a v tichém pohybu ve městě. (bez aktivace, Tělo)"
name,Hadí muž
flavor,Ten člověk má snad ohebné i kosti a dokáže lézt po zdi jako moucha.
description,"Postava je zběhlá (některé manévry zdarma) ve šplhání a lezení, protahování se úzkými otvory a vykroucení se z pout. (bez aktivace, Tělo)"
name,Zloděj
flavor,Vyhodit kotvičku na hradební zeď je pro něj stejně snadné jako odříznout něčí váček nebo vytáhnout eso z rukávu.
description,"Postava je zběhlá (některé manévry zdarma) ve vrhání na neživý cíl, žonglování, tricích s drobnými předměty, okrádání druhých a v ukrývání věcí na těle. (bez aktivace, Tělo)"
name,Špeh
flavor,"Přesně ví, kde je možné se ve městě či na vsi schovat a kde naopak hledat to, co mělo uniknout jeho zvědavému zraku."
description,"Postava je zběhlá (některé manévry zdarma) v ukrývání se a odhalování skrytých tvorů či věcí ve městě a v orientaci ve městě. (bez aktivace, Duše)"
name,Komediant
flavor,"Když mluví, může mu za zády přecházet karavana velbloudů a nikdo si jí ani nevšimne."
description,"Postava je zběhlá (některé manévry zdarma) v předstírání a herectví, v přestrojování se a v uměleckých kouscích. (bez aktivace, Vliv)."
name,Dvě mouchy jednou ranou (rychlá volba: Úroveň 4)
flavor,V jediné chvíli vrhne každou rukou jeden nůž či kámen.
description,"Při vrhání, během nějž má postava dostatek dobře přístupné munice (například vrhací nože v pouzdrech na předloktích nebo kameny na zemi před sebou), může postava při každém svém útoku směřovaném pouze na dva cíle použít zdarma manévr rozsáhle. (bez aktivace, Tělo)"
name,Skrytá kapsa
flavor,"Nikdo neví, jak to dělá, ale nějakou tu drobnost je schopen pronést kamkoliv."
description,"Hráč může určit, že jeho postava má u sebe jeden malý předmět do velikosti dlaně, a to i poté, co byla prohledána. Pokud by se však mělo jednat o předmět cenný (například prsten s drahokamem), musela jej postava dříve koupit. (aktivace: 1 Tělo)"
class,Mastičkář
name,Čtení v duši
flavor,Vidí člověku až do žaludku a dokáže odhadnout jeho pravou povahu i schopnosti. 
description,Postava s touto vyhrazenou dovedností dokáže společně s odhadem jedné z hranic určitého člověka zároveň zjistit i výši nebo obsah jeho charakteristiky. (aktivace: 1 Vliv)
name,Umění improvizace (rychlá volba: Úroveň 3)
flavor,"Zatímco jiní zkoušejí chybějící přísadu nějak nahradit, on si zkrátka upraví celý recept. "
description,"Postava s touto vyhrazenou dovedností dokáže vyrobit jakoukoliv substanci z nouzových surovin, aniž by výrobek ztratil s východem nebo západem slunce své vlastnosti. Stále však platí omezení, že substance nemůže mít větší sílu než 1. (aktivace: 1 Duše)"
name,Všelék
flavor,"Sbírá babské recepty, studuje staré lékařské spisy a díky tomu dokáže namíchat léčivý životabudič, který zabírá prakticky na cokoliv."
description,"Postava s touto vyhrazenou dovedností dokáže vyrobit lektvar, který nemá omezený účel, ale hojí jakýkoliv druh tělesných jizev – od zranění až po nemoc. (aktivace: 1 surovina)"
name,Neobvyklé jedy (rychlá volba: Úroveň 5)
flavor,"Míchá jedy, jako by tvořil umělecké dílo – tu něco přidá, tam něco změní a výsledek je ohromující. "
description,"Postava s touto vyhrazenou dovedností dokáže vyrobit rychlý jed nebo omamnou látku, které účinkují okamžitě. (aktivace: 1 surovina) Postava také dokáže vyrobit dvousložkový jed nebo omamnou látku, které zůstanou v těle oběti a začnou působit teprve v okamžiku, kdy oběť pozře něco, co jed aktivuje. Jed či omamná látka zůstanou v těle oběti nejpozději do nejbližšího slunovratu nebo rovnodennosti. (aktivace: 1 surovina) Postava rovněž dokáže vyrobit těžko odhalitelný jed či omamnou látku, které nemají výraznou chuť, vůni ani barvu. (aktivace: 1 surovina)"
name,Ranhojič
flavor,"Kde běžný felčar dokáže tak nanejvýš pustit žilou pacientovi i jeho měšci, on zachraňuje životy."
description,"Postava je zběhlá (některé manévry zdarma) v léčení lidského těla, v lučbě a v přípravě a podávání lektvarů. (bez aktivace, Duše)"
name,Travič
flavor,"Jedy a uspávadla, které vyrábí, účinkují spolehlivěji než ostrá dýka nebo rána do zátylku."
description,"Postava je zběhlá (některé manévry zdarma) v přípravě a maskování jedů a uspávadel a v mastičkářských znalostech. (bez aktivace, Duše)"
name,Vyjednavač (rychlá volba: Úroveň 4)
flavor,"Ví, co a kdy je třeba říci, aby se rozhovor ubíral tím správným směrem. "
description,"Postava je zběhlá (některé manévry zdarma) v odhadování hranic, pocitů a úmyslů lidí a ve vyjednávání a smlouvání s lidmi. (bez aktivace, Vliv)"
name,Ostrý jazyk (rychlá volba: Úroveň 1)
flavor,Umí se zastat svých přátel a jeho slova tnou hlouběji než meč.
description,"Akcemi spadajícími pod Vliv může reagovat pomocí manévru obrana nejen na akce vedené na sebe, jak je obvyklé, ale i na jakékoliv akce vedené na jinou postavu, která se nachází v doslechu. (bez aktivace, Vliv)"
name,Moudrý rádce (rychlá volba: Úroveň 2)
flavor,Pouhá jeho přítomnost může jeho přátelům pomoci odolat nátlaku nebo přesvědčit o své pravdě odpůrce. 
description,"Postava může zaplatit svými zdroji za svého pomocníka nebo jinou postavu, která se nachází dostatečně blízko a čelí přesvědčování, smlouvání nebo ovlivňování. (bez aktivace, Vliv)"
name,Samaritán
flavor,Už pouhá jeho přítomnost u lůžka zraněného či nemocného dodává naději i víru v uzdravení.
description,"Při léčení tělesné jizvy může postava zčásti nebo zcela zaplatit svými zdroji Vlivu za hojení pacienta. (bez aktivace, Vliv)"
name,Pečovatelský zásah
flavor,"Masáž bolavých zad, pečlivé převázání ran nebo podání povzbuzujícího nápoje dokážou spolubojovníkovi doplnit ztracené síly."
description,"Když se někomu přiměřeně dlouho věnuje, může mu předat libovolné množství svých tělesných zdrojů. (bez aktivace, Tělo)"
name,Lazebník
flavor,Holení a stříhání vlasů jsou jen záminkou k tomu si poklábosit a vyměnit novinky. 
description,"Hráč může stanovit, že o určité postavě koluje mezi lidmi nějaká fáme nebo pomluva. (aktivace: 1 Vliv)"
class,Zaříkávač
name,Čarovné stráže
flavor,"Z prastarých knih vyčetl návody na ochranné rituály, jaké zná jen málokterý kouzelník."
description,"Postava s touto vyhrazenou dovedností dokáže při provádění magických obrazců vytvořit chytrého strážce, kterému lze uložit podmínku, při jejímž splnění nemá procitnout – například pokud se předmětu dotkne určitá osoba nebo pokud někdo při vstupu do kruhu vyřkne stanovené heslo. (aktivace: 1 Duše) Postava také dokáže vytvořit „věčného“ strážce, který je spoutaný s místem či předmětem až do nejbližšího slunovratu nebo rovnodennosti. (aktivace: 3 Duše)"
name,Modlitby a uřknutí (rychlá volba: Úroveň 5)
flavor,"Umí zajistit přízeň nebes, ale také potrestat provinilce tak, že bude na kolenou prosit, aby z něj trest sňal."
description,"Postava s touto vyhrazenou dovedností dokáže seslat silné zaříkání (požehnání nebo prokletí), které ovlivní určitou činnost cíle až do nejbližšího východu nebo západu slunce. (aktivace: 1 Vliv) Postava také dokáže seslat silné prokletí (nikoliv však silné požehnání) v podobě „věčné“ kletby, jejíž účinky přetrvají až do nejbližšího slunovratu nebo rovnodennosti, musí však obsahovat splnitelnou podmínku, při jejímž naplnění vyprchá, například „dokud nepohostíš neznámého pocestného“. (aktivace: 3 Vlivy)"
name,Knihomol
flavor,"Zná staré legendy, luští texty v téměř zapomenutých jazycích, rozpozná jakékoliv kouzlo a jeho znalosti ho neomylně přivádějí ke zřídlům čarovné moci "
description,"Postava je zběhlá (některé manévry zdarma) v učenosti. (bez aktivace, Duše)"
name,Zasvěcenec
flavor,Přináší útěchu i rozhřešení a jeho víra v božstva či v sebe sama dodává moc i jeho modle či magickému amuletu.
description,"Postava je zběhlá (některé manévry zdarma) v rozpoznávání duševních chorob, léčení duševních jizev a v ukládání zdrojů do rituálních předmětů. (bez aktivace, Duše)"
name,Divoký talent (rychlá volba: Úroveň 1)
flavor,Síla jeho nadání je udivující. Lidé touží po jeho požehnání a obávají se jeho kleteb.
description,"Postava je zběhlá (některé manévry zdarma) v sesílání prokletí a požehnání. (bez aktivace, Vliv)"
name,Povolávač 
flavor,"Ví přesně, jak přivolat nadpřirozenou bytost, ochránit se před její zlobou a jak spoutat tajemné magické síly."
description,"Postava je zběhlá (některé manévry zdarma) v jednání s nadpřirozenými bytostmi, včetně jejich přilákání, a ve vytváření magických obrazců. (bez aktivace, Vliv)"
name,Bystrost (rychlá volba: Úroveň 4)
flavor,Je pohotový a v pravou chvíli dokáže pomoci příteli radou či kouzlem.
description,"Duševními akcemi může reagovat pomocí manévru obrana nejen na akce vedené na sebe, jak je obvyklé, ale i na jakékoliv akce vedené na jinou postavu, která se nachází v dohledu. (bez aktivace, Duše)"
name,Spojení myslí (rychlá volba: Úroveň 2)
flavor,"Dokud má dost sil, ochrání věrného spolubojovníka před cizími čáry a kouzly."
description,"Postava může zaplatit svými zdroji za svého pomocníka nebo jinou postavu, která se nachází dostatečně blízko a čelí jakékoliv formě magie. (bez aktivace, Duše)"
name,Síla osobnosti
flavor,Jeho klid konejší a jeho moudrost zahání výčitky svědomí i noční můry.
description,"Při léčení duševní jizvy může postava zčásti nebo zcela zaplatit svými zdroji vlivu za hojení pacienta. (bez aktivace, Vliv)"
name,Mystický kruh
flavor,Mocným obřadem či rituálem mohou zaříkávači spojit své síly a dosáhnout zázraku.
description,"Postava může přispět svými zdroji jiné postavě, která provádí nějaký druh magie, pokud předtím provedly obě postavy dostatečně dlouhou obřadní přípravu. (bez aktivace, Vliv)"
name,Moc amuletu (rychlá volba: Úroveň 3)
flavor,"Kde jiní rozhazují zlatý prach a pálí vonné svíce, aby obnovili moc své hole či odznaku víry, on jen zašeptá prosbu a je vyslyšen."
description,"Postava s touto vyhrazenou dovedností dokáže ukládat zdroje do rituálního předmětu bez vynaložení surovin. (bez aktivace, Duše)"
name,Věže a chrámy
flavor,"Ať se nachází kdekoliv, dokáže pro své přátele najít ochranu za zdmi kláštera nebo ve věži cechu čarodějů."
description,"Hráč může stanovit, že se v blízkém okolí nachází chrám, klášter nebo sídlo kouzelnického spolku, a určit jeho polohu. (aktivace: 1 Vliv)"
class,Válečník
name,Bojový výcvik
flavor,"Zjizvení žoldáci v jeho službách často vzpomínají, jaké bývali padavky, než je vzal k sobě do učení."
description,"Postava s touto vyhrazenou dovedností dokáže za stejnou cenu, jakou by ji stálo posílení Pouta o jeden bod, naučit svého pomocníka jednu bojovnickou dovednost nebo jednu bojovnickou zvláštní schopnost, kterou sama má či ovládá. Součet všech takto přidaných dovedností a zvláštních schopností nemůže přesáhnout hranici Vlivu postavy. (aktivace: 1 Vliv)"
name,Bohatýr
flavor,"Na svém hřebci rozráží řady nepřátel, jako když příď lodi krájí příboj."
description,"Postava je zběhlá (některé manévry zdarma) a zároveň je mistrem (posílené manévry) v jízdním boji zblízka proti lidem a zvířatům. (bez aktivace, Tělo)"
name,Šermíř
flavor,"Ovládá všemožné triky, záludnosti a finty, takže souboje jsou jeho druhá přirozenost."
description,"Postava je mistrem (posílené manévry) v pěším boji zblízka jakoukoliv zbraní (i nouzovou) proti lidem a zvířatům. (bez aktivace, Tělo)"
name,Veterán
flavor,"Přesně ví, odkud hrozí v bitvě nebezpečí, a když je po boji, opraví své zbraně stejně dobře jako zkušený zbrojíř."
description,"Postava je mistrem (posílené manévry) ve strategii a v odhadu nepřítele a je zběhlá (některé manévry zdarma) v opravách zbraní. (bez aktivace, Duše)"
name,Urozený
flavor,Jeho původ či výchova a znalosti diplomatického jednání mu otevírají každé dveře.
description,"Postava je mistrem (posílené manévry) ve využívání svého vlivu ve vyšší společnosti a v uplatňování základů diplomacie. (bez aktivace, Duše)."
name,Velitel
flavor,"Aby splnili jím vydaný rozkaz, jsou jeho lidé ochotni položit i život."
description,"Postava je mistrem (posílené manévry) ve vedení lidí v boji. (bez aktivace, Vliv)"
name,Válečný oř
flavor,"Když se řítí vpřed pevně zapřený v sedle, rozdrtí bojovným pokřikem odvahu všech, kdo mu stojí v cestě."
description,"Sedí-li na jízdním zvířeti, může postava při zastrašování lidí a zvířat použít při každé své akci zdarma manévr rozsáhle. (bez aktivace, Vliv)"
name,Válečný tanečník
flavor,"Nepřehlednou skrumáží, kde zní třesk zbraní a sténání raněných, se proplétá mrštně jako kočka."
description,"Když postava čelí v boji zblízka více než jednomu tvorovi, může v každém kole konfliktu použít jednou zdarma manévr obrana. (bez aktivace, Tělo)"
name,Hrdinský duch
flavor,Odhodlání bojovníků pod jeho velením nedokáže zlomit ani přesila nebo děs z nestvůr.
description,"Postava může zaplatit svými zdroji za svého pomocníka nebo jinou postavu, která se nachází dostatečně blízko a čelí zastrašování či psychickému nátlaku. (bez aktivace, Vliv)"
name,Vůdcovské charisma
flavor,"Loajalita jeho následovníků nezná hranic. Milují ho stejnouměrou, jako se ho obávají."
description,"Z každé jizvy na Poutu získává jakýkoliv pomocník postavy vždy 1 zdroj navíc. (bez aktivace, Vliv)"
name,Popularita
flavor,"Mezi svými lidmi má skvělou pověst. Zkuste jejich pánovi vyhrožovat nebo jej očernit a uvidíte, jaké najde zastání."
description,"Na akce vedené proti postavě a spadající pod Vliv může její pomocník reagovat i pomocí manévru obrana, jestliže se nachází poblíž. (bez aktivace, Vliv)"
name,Slavné jméno
flavor,Válečníkovy činy jsou známé v širém okolí a lidé si o nich šeptají.
description,"Při setkání či konfliktu s cizí postavou může hráč určit, že tato cizí postava zná činy jeho postavy z vyprávění, a popíše, o jaké činy jde. (aktivace: 1 Vliv)"
class,Hraničář
name,Poutník
flavor,Postava rychle pochytí základy většiny jazyků a zbytek odgestikuluje.
description,"Postava s touto vyhrazenou dovedností dokáže zhruba odhadnout, co jí lidé říkají cizím jazykem, a sdělit jim jednoduché myšlenky, byť se jejich jazyk nikdy neučila. (aktivace: 1 Duše)"
name,Dravčí instinkty
flavor,"Snad je to dar od bohů k ochraně lidí, že vnímá nestvůry jakýmsi vnitřním zrakem."
description,"Postava s touto vyhrazenou dovedností dokáže vnímat netvory, i když je nevidí ani neslyší. Může tedy vycítit přítomnost netvora šestým smyslem a dokáže se s ním bez omezení střetnout i ve tmě nebo v jiných situacích, kdy nemůže používat běžné smysly. (bez aktivace, Duše)"
name,Berserk
flavor,V zoufalé situaci jej posedne válečné šílenství a vrhá se strašlivou silou do největšího nebezpečí.
description,"Postava dokáže za zdroje z tělesné jizvy úrovně 1 dosáhnout úspěchu ve zkoušce nebo zabránit neúspěchu ve střetu bez ohledu na velikost svého Ohrožení. (bez aktivace, Tělo)"
name,Drakobijce
flavor,"S netvory se potýkal už tolikrát, že přesně ví, jak na ně."
description,"Postava je mistrem (posílené manévry) v pěším boji zblízka s netvory a v braní a prodeji trofejí z netvorů. (bez aktivace, Tělo)"
name,Čarostřelec
flavor,"Ví, kam umístit střelu z luku či kuše, aby nestvůře pronikla hluboko do těla."
description,"Postava je mistrem (posílené manévry) v pěší střelbě na netvory a v braní a prodeji trofejí z netvorů. (bez aktivace, Tělo)"
name,Strážce hranic
flavor,Je ochráncem i hrází proti nebezpečí přicházejícímu z divočiny.
description,"Postava je zběhlá (některé manévry zdarma) ve vytváření loveckých pastí na lidi a při výrobě primitivních zbraní a nástrojů, jednoduchých obranných staveb a malých plavidel. (bez aktivace, Duše)"
name,Slavný stvůrobijce
flavor,Každý už slyšel o jeho činech a na netvory jeho pověst a zjev působí děsivě.
description,"Postava je mistrem (posílené manévry) v zastrašování netvorů, odhadování jejich zvláštních schopností a v získávání důvěry či přízně obyčejných obyvatel. (bez aktivace, Vliv)"
name,Divý muž
flavor,Je mimořádně zkušený v provádění lesních přepadů a útoků ze zálohy.
description,"Postava je mistrem (posílené manévry) v akcích směřujících k překvapivému přepadení nepřátel v divočině. (bez aktivace, Duše)"
name,Hrr na ně!
flavor,Pod jeho nožem padnou během jediné chvíle hned dva strážci a svými léčkami dokáže zpomalit postup celého skřetího oddílu.
description,"Při líčení loveckých pastí (na libovolný počet cílů) a při plížení se a útočení ze zálohy v divočině směřovaném pouze na dva cíle může postava při každé své akci použít zdarma manévr rozsáhle. (bez aktivace, Duše)"
name,Lovec trofejí
flavor,Každá šelma i netvor mají své slabé místo a zkušený lovec skalpů je dobře zná.
description,"Když postava vstupuje do konfliktu s takovým druhem zvířat či netvorů, s nímž už se v některém z předchozích dobrodružství postava střetla, získává Výhodu o velikosti 2. (bez aktivace, Duše)"
name,Znalec krajiny
flavor,"Ví, kde je možno se ztratit nepřátelům, opevnit se ve staré zřícenině nebo jak daleko je to k nejbližšímu brodu."
description,"Hráč může určit, že se v blízkém okolí vyskytuje nějaký krajinný prvek, například skalní průrva, horská bystřina nebo husté křoviny. (aktivace:1 Duše)"
name,Odhad kořisti
flavor,"Proč se štvát za baziliškem přes hvozd, když ze stop je zřejmé, kam má namířeno?"
description,"Hráč určí, kam tvor pronásledovaný družinou míří nebo kudy musí projít a jak je mu na základě toho možné nadběhnout nebo alespoň výrazně zkrátit vzdálenost. (aktivace: 1 Duše)"
class,Šaman
name,Čarovné nápoje
flavor,"Jeho oborem jsou nápoje lásky, prášky vyvolávající záchvaty zběsilosti a jiné podivné dryáky."
description,"Postava s touto vyhrazenou dovedností dokáže vyrobit omamnou látku, která způsobí, že cíl se zachová určitým způsobem k prvnímu člověku, kterého potká od okamžiku, kdy nastoupí účinky podané látky. (aktivace: 1 surovina)"
name,Měnič podob
flavor,"Říkají o něm, že je vlkodlak, ale on tvrdí, že má své nadání plně pod kontrolou."
description,Postava s touto vyhrazenou dovedností se dokáže proměnit ve zvíře a jednat ve zvířecí podobě. (aktivace: 2 Tělo)
name,Neviditelný jezdec
flavor,"Umí zvířata ovládat a pouhé pírko nebo chumáč srsti mu stačí, aby mohl následovat svého zvířecího přítele kamkoliv."
description,"Postava s touto vyhrazenou dovedností dokáže ovládnout jednání určitého zvířete až do soumraku či úsvitu. (aktivace: 1 Vliv) Postava také dokáže využívat smysly a dávat pokyny zvířeti, které je jí přátelsky nakloněné, pomocí symbolického dotyku (tedy pokud má u sebe například pírko z křídla, svléknutou hadí kůži nebo několik chlupů zvířete). Nemůže však takto zvíře ovládat proti jeho vůli. (aktivace: 1 Vliv)"
name,Vládce šelem
flavor,"Ještě dlouho po jeho odchodu zůstávají zvířata zuřivá nebo krotká jako beránci, pobíhají zmateně v kruzích nebo naopak neomylně sledují stopu."
description,"Postava s touto vyhrazenou dovedností dokáže vytvořit kouzlo zvířecí magie, které bude trvat až do soumraku či do úsvitu. (aktivace: 1 Vliv)"
name,Znak vlkodlaka
